"portnum","prot","ipproto","name","description"
1,6,"tcp","tcpmux","TCP Port Service Multiplexer"
1,17,"udp","tcpmux","TCP Port Service Multiplexer"
2,6,"tcp","compressnet","Management Utility"
2,17,"udp","compressnet","Management Utility"
3,6,"tcp","compressnet","Compression Process"
3,17,"udp","compressnet","Compression Process"
5,6,"tcp","rje","Remote Job Entry"
5,17,"udp","rje","Remote Job Entry"
7,6,"tcp","echo","Echo"
7,17,"udp","echo","Echo"
9,6,"tcp","discard","Discard"
9,17,"udp","discard","Discard"
9,132,"sctp","discard","Discard"
9,33,"dccp","discard","Discard"
11,6,"tcp","systat","Active Users"
11,17,"udp","systat","Active Users"
13,6,"tcp","daytime","Daytime"
13,17,"udp","daytime","Daytime"
17,6,"tcp","qotd","Quote of the Day"
17,17,"udp","qotd","Quote of the Day"
18,6,"tcp","msp","Message Send Protocol (historic)"
18,17,"udp","msp","Message Send Protocol (historic)"
19,6,"tcp","chargen","Character Generator"
19,17,"udp","chargen","Character Generator"
20,6,"tcp","ftp-data","File Transfer [Default Data]"
20,17,"udp","ftp-data","File Transfer [Default Data]"
20,132,"sctp","ftp-data","FTP"
21,6,"tcp","ftp","File Transfer Protocol [Control]"
21,17,"udp","ftp","File Transfer Protocol [Control]"
21,132,"sctp","ftp","FTP"
22,6,"tcp","ssh","The Secure Shell (SSH) Protocol"
22,17,"udp","ssh","The Secure Shell (SSH) Protocol"
22,132,"sctp","ssh","SSH"
23,6,"tcp","telnet","Telnet"
23,17,"udp","telnet","Telnet"
24,6,"tcp","","any private mail system"
24,17,"udp","","any private mail system"
25,6,"tcp","smtp","Simple Mail Transfer"
25,17,"udp","smtp","Simple Mail Transfer"
27,6,"tcp","nsw-fe","NSW User System FE"
27,17,"udp","nsw-fe","NSW User System FE"
29,6,"tcp","msg-icp","MSG ICP"
29,17,"udp","msg-icp","MSG ICP"
31,6,"tcp","msg-auth","MSG Authentication"
31,17,"udp","msg-auth","MSG Authentication"
33,6,"tcp","dsp","Display Support Protocol"
33,17,"udp","dsp","Display Support Protocol"
35,6,"tcp","","any private printer server"
35,17,"udp","","any private printer server"
37,6,"tcp","time","Time"
37,17,"udp","time","Time"
38,6,"tcp","rap","Route Access Protocol"
38,17,"udp","rap","Route Access Protocol"
39,6,"tcp","rlp","Resource Location Protocol"
39,17,"udp","rlp","Resource Location Protocol"
41,6,"tcp","graphics","Graphics"
41,17,"udp","graphics","Graphics"
42,6,"tcp","name","Host Name Server"
42,17,"udp","name","Host Name Server"
42,6,"tcp","nameserver","Host Name Server"
42,17,"udp","nameserver","Host Name Server"
43,6,"tcp","nicname","Who Is"
43,17,"udp","nicname","Who Is"
44,6,"tcp","mpm-flags","MPM FLAGS Protocol"
44,17,"udp","mpm-flags","MPM FLAGS Protocol"
45,6,"tcp","mpm","Message Processing Module [recv]"
